bench;#trials;DATASET;benchmark_folder;kernel_folder;routine_name;binary_placeholder;expected_bin_name
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;BT;bt;BT_SRC;bt.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;BT;initialize;INITIALIZE_SRC;bt.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;BT;x_solve;X_SOLVE_SRC;bt.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;BT;compute_rhs;COMPUTE_RHS_SRC;bt.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;BT;rhs_norm;RHS_NORM_SRC;bt.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;SP;rhs_norm;RHS_NORM_SRC;sp.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;SP;initialize;INITIALIZE_SRC;sp.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;SP;y_solve;Y_SOLVE_SRC;sp.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;SP;exact_rhs;EXACT_RHS_SRC;sp.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;MG;norm2u3;NORM2U3_SRC;mg.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;MG;zran3;ZRAN3_SRC;mg.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;CG;conj_grad;CONJ_GRAD_SRC;cg.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;IS;full_verify;FULL_VERIFY_SRC;is.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;CG;cg;CG_SRC;cg.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;MG;mg;MG_SRC;mg.B.x
nas;3;B;/mnt/d/workspace/ud-masters/benchmarks/NPB3.3-SER-C-tiling;IS;is;IS_SRC;is.B.x
poly;3;LARGE_DATASET;/mnt/d/workspace/ud-masters/benchmarks/modified-Polybench-4.2-tiling;linear-algebra/kernels;atax;ATAX_SRC;atax
poly;3;LARGE_DATASET;/mnt/d/workspace/ud-masters/benchmarks/modified-Polybench-4.2-tiling;linear-algebra/kernels;2mm;2MM_SRC;2mm
poly;3;LARGE_DATASET;/mnt/d/workspace/ud-masters/benchmarks/modified-Polybench-4.2-tiling;linear-algebra/kernels;3mm;3MM_SRC;3mm
poly;3;LARGE_DATASET;/mnt/d/workspace/ud-masters/benchmarks/modified-Polybench-4.2-tiling;datamining;correlation;CORRELATION_SRC;correlation
